1;2010 AU118;2020;2112;38;1.80000e-08;25.2200;16.2000;1.90000;-2.73000;-3.16000;0
2;2000 WJ107;2114;2114;10;2.20000e-06;12.7800;23.1000;0.0810000;-5.02000;-5.63000;0
3;2010 CA55;2021;2087;6;6.30000e-08;24.0300;22.0000;0.140000;-4.64000;-4.73000;0
4;2013 QM48;2071;2115;17;4.00000e-06;7.47000;27.4000;0.0110000;-6.93000;-7.50000;0
5;2014 DK10;2060;2060;1;3.60000e-08;11.8300;27.8000;0.0100000;-8.71000;-8.71000;0
6;2011 UD21;2105;2105;1;9.30000e-06;1.29000;28.5000;0.00700000;-7.21000;-7.21000;0
7;2008 EZ84;2072;2114;10;0.000220000;7.91000;26.2000;0.0200000;-4.39000;-4.68000;0
8;2015 KH160;2097;2107;2;1.80000e-08;29.2000;26.4000;0.0180000;-8.24000;-8.25000;0
9;2016 TQ2;2110;2115;7;3.80000e-06;15.2100;26.4000;0.0170000;-6.29000;-6.56000;0
10;2010 TW54;2092;2107;7;4.20000e-06;7.77000;27.6000;0.0100000;-6.94000;-7.43000;0
11;2010 TN55;2066;2111;21;2.80000e-06;25.3700;27.0000;0.0140000;-6.33000;-6.88000;0
12;2000 LG6;2075;2115;52;0.000990000;2.11000;29.0000;0.00500000;-5.37000;-5.86000;0
13;2011 BH40;2023;2115;63;1.30000e-07;5.31000;25.1000;0.0320000;-6.80000;-7.47000;0
14;2010 XU;2065;2065;1;1.50000e-10;6.22000;25.4000;0.0290000;-10.1700;-10.2000;0
15;2012 CL17;2095;2112;18;1.40000e-06;21.5400;25.7000;0.0240000;-6.15000;-6.75000;0
16;2010 TD;2072;2091;5;2.70000e-06;18.8600;26.9000;0.0140000;-6.34000;-6.75000;0
17;1993 UA;2111;2111;2;7.10000e-07;9.40000;25.4000;0.0280000;-6.72000;-6.88000;0
18;2016 SK2;2073;2081;4;2.10000e-06;13.6400;25.3000;0.0290000;-5.88000;-5.91000;0
19;2013 GA55;2070;2114;23;3.90000e-05;9.34000;27.7000;0.0100000;-6.04000;-6.21000;0
20;2009 EJ1;2067;2086;3;1.00000e-07;10.6300;28.2000;0.00800000;-8.64000;-8.78000;0
